Alert ID,Alert Name,Trading Date,Closing Date,Ticker,Open,Closing,Shares,Cost,PnL,Return(%),Average Day in the Market,Outcome,Status,Strategy,Timeframe,Actual Buy Shares,Actual Sell Shares
1552243182,1D TNA nEqual,2024-11-07,2024-11-13,TNA,53.16,54.33,1,53.16,1.17,2.2,6,Win,Closed,1D TNA nEqual,1D,,
1552243182,1D TNA nEqual,2024-12-30,2025-01-17,TNA,41.7,44.89,1,41.7,3.19,7.65,18,Win,Closed,1D TNA nEqual,1D,,
1552243182,1D TNA nEqual,2025-02-19,2025-03-21,TNA,43.38,31.0,1,43.38,-12.38,-28.54,30,Loss,Closed,1D TNA nEqual,1D,,
1552243182,1D TNA nEqual,2025-04-16,2025-04-29,TNA,22.27,25.32,1,22.27,3.05,13.7,13,Win,Closed,1D TNA nEqual,1D,,
1558538091,2HR PLTR Skew,2024-10-21,2024-10-23,PLTR,42.87,42.85,1,42.87,-0.02,-0.05,2,Loss,Closed,2HR PLTR Skew,2h,,
1558538091,2HR PLTR Skew,2024-10-24,2024-10-25,PLTR,42.98,44.61,1,42.98,1.63,3.79,1,Win,Closed,2HR PLTR Skew,2h,,
1558538091,2HR PLTR Skew,2024-11-05,2024-11-06,PLTR,50.49,53.42,1,50.49,2.93,5.8,1,Win,Closed,2HR PLTR Skew,2h,,
1558538091,2HR PLTR Skew,2024-11-13,2024-11-25,PLTR,61.57,64.73,1,61.57,3.16,5.13,12,Win,Closed,2HR PLTR Skew,2h,,
1558538091,2HR PLTR Skew,2024-12-03,2024-12-26,PLTR,66.26,83.17,1,66.26,16.91,25.52,23,Win,Closed,2HR PLTR Skew,2h,,
1558538091,2HR PLTR Skew,2025-01-03,2025-01-16,PLTR,79.6,69.07,1,79.6,-10.53,-13.23,13,Loss,Closed,2HR PLTR Skew,2h,,
1558538091,2HR PLTR Skew,2025-01-30,2025-01-31,PLTR,80.15,81.03,1,80.15,0.88,1.1,1,Win,Closed,2HR PLTR Skew,2h,,
1559235710,1D FANG nEqual L2024,2024-10-30,2024-12-31,FANG,176.86,160.99,1,176.86,-15.87,-8.97,62,Loss,Closed,1D FANG nEqual L2024,1D,,
1559235710,1D FANG nEqual L2024,2025-02-03,2025-03-04,FANG,165.18,145.99,1,165.18,-19.19,-11.62,29,Loss,Closed,1D FANG nEqual L2024,1D,,
1559235710,1D FANG nEqual L2024,2025-04-09,2025-04-29,FANG,115.83,137.81,1,115.83,21.98,18.98,20,Win,Closed,1D FANG nEqual L2024,1D,,
1559235710,1D FANG nEqual L2024,2025-05-28,2025-06-17,FANG,139.22,153.07,1,139.22,13.85,9.95,20,Win,Closed,1D FANG nEqual L2024,1D,,
1559235710,1D FANG nEqual L2024,2025-07-10,2025-08-29,FANG,141.09,148.51,1,141.09,7.42,5.26,50,Win,Closed,1D FANG nEqual L2024,1D,,
1559235710,1D FANG nEqual L2024,2025-09-18,2025-09-30,FANG,140.81,141.74,1,140.81,0.93,0.66,12,Win,Closed,1D FANG nEqual L2024,1D,,
1559438232,15M SVIX Skew,2024-10-01,2024-10-03,SVIX,25.65,24.69,1,25.65,-0.96,-3.74,2,Loss,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-10-03,2024-10-08,SVIX,24.37,23.97,1,24.37,-0.4,-1.64,5,Loss,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-10-08,2024-10-09,SVIX,24.0,24.31,1,24.0,0.31,1.29,1,Win,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-10-09,2024-10-11,SVIX,24.5,24.26,1,24.5,-0.24,-0.98,2,Loss,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-10-15,2024-10-16,SVIX,25.76,24.52,1,25.76,-1.24,-4.81,1,Loss,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-10-16,2024-10-17,SVIX,24.59,24.83,1,24.59,0.24,0.98,1,Win,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-10-18,2024-10-18,SVIX,25.24,25.3,1,25.24,0.06,0.24,0,Win,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-10-21,2024-10-21,SVIX,25.49,25.56,1,25.49,0.07,0.27,0,Win,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-10-22,2024-10-22,SVIX,25.18,25.45,1,25.18,0.27,1.07,0,Win,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-10-23,2024-10-24,SVIX,24.24,24.87,1,24.24,0.63,2.6,1,Win,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-09-16,2024-09-16,SVIX.,19970.0,19970.0,1,19970.0,0.0,0.0,0,Loss,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-09-17,2024-09-18,SVIX.,20416.0,20416.0,1,20416.0,0.0,0.0,1,Loss,Closed,15M SVIX Skew,15m,,
1559438232,15M SVIX Skew,2024-09-19,2024-09-24,SVIX.,20059.0,20059.0,1,20059.0,0.0,0.0,5,Loss,Closed,15M SVIX Skew,15m,,
1561173569,1HR AAPL Skew,2024-10-01,2024-10-09,AAPL,225.3,229.63,1,225.3,4.33,1.92,8,Win,Closed,1HR AAPL Skew,1h,,
1561173569,1HR AAPL Skew,2024-10-14,2024-10-15,AAPL,228.69,235.44,1,228.69,6.75,2.95,1,Win,Closed,1HR AAPL Skew,1h,,
1561173569,1HR AAPL Skew,2024-10-16,2024-10-18,AAPL,231.11,235.04,1,231.11,3.93,1.7,2,Win,Closed,1HR AAPL Skew,1h,,
1561173569,1HR AAPL Skew,2024-10-23,2024-10-25,AAPL,234.18,231.84,1,234.18,-2.34,-1.0,2,Loss,Closed,1HR AAPL Skew,1h,,
1561173569,1HR AAPL Skew,2024-10-29,2024-11-06,AAPL,233.99,224.81,1,233.99,-9.18,-3.92,8,Loss,Closed,1HR AAPL Skew,1h,,
1561173569,1HR AAPL Skew,2024-11-08,2024-11-19,AAPL,226.88,229.34,1,226.88,2.46,1.08,11,Win,Closed,1HR AAPL Skew,1h,,
1561173569,1HR AAPL Skew,2024-11-21,2024-11-25,AAPL,225.94,231.71,1,225.94,5.77,2.55,4,Win,Closed,1HR AAPL Skew,1h,,
1561173569,1HR AAPL Skew,2024-12-05,2024-12-17,AAPL,242.89,252.53,1,242.89,9.64,3.97,12,Win,Closed,1HR AAPL Skew,1h,,
1561173569,1HR AAPL Skew,2024-12-20,2024-12-23,AAPL,253.72,254.04,1,253.72,0.32,0.13,3,Win,Closed,1HR AAPL Skew,1h,,
1561173569,1HR AAPL Skew,2024-12-30,2025-01-07,AAPL,252.23,243.74,1,252.23,-8.49,-3.37,8,Loss,Closed,1HR AAPL Skew,1h,,
1561173569,1HR AAPL Skew,2025-01-16,2025-02-13,AAPL,229.2,236.97,1,229.2,7.77,3.39,28,Win,Closed,1HR AAPL Skew,1h,,
1561543426,2HR DJT Skew,2024-10-07,2024-10-07,DJT,18.91,18.51,1,18.91,-0.4,-2.12,0,Loss,Closed,2HR DJT Skew,2h,,
1561948443,1D UPRO nEqual,2024-11-07,2024-11-15,UPRO,93.44,91.53,1,93.44,-1.91,-2.04,8,Loss,Closed,1D UPRO nEqual,1D,,
1561948443,1D UPRO nEqual,2024-12-26,2025-01-27,UPRO,95.11,91.46,1,95.11,-3.65,-3.84,32,Loss,Closed,1D UPRO nEqual,1D,,
1561948443,1D UPRO nEqual,2025-03-07,2025-05-01,UPRO,79.34,69.66,1,79.34,-9.68,-12.2,55,Loss,Closed,1D UPRO nEqual,1D,,
1561948443,1D UPRO nEqual,2025-08-06,2025-09-24,UPRO,95.17,110.97,1,95.17,15.8,16.6,49,Win,Closed,1D UPRO nEqual,1D,,
1561948443,1D UPRO nEqual,2024-09-18,2024-09-26,UPRO.,32079.0,2448.0,1,32079.0,-29631.0,-92.37,8,Loss,Closed,1D UPRO Equal,1D,,
1562001747,15M BTC Skew,2024-09-15,2024-09-15,BTCUSD.,2.69,2.69,1,2.69,0.0,0.0,0,Loss,Closed,15M BTC Skew,15m,,
1562001747,15M BTC Skew,2024-09-15,2024-09-15,BTCUSD.,2.69,2.69,1,2.69,0.0,0.0,0,Loss,Closed,15M BTC Skew,15m,,
1562001747,15M BTC Skew,2024-09-15,2024-09-17,BTCUSD.,2.71,2.71,1,2.71,0.0,0.0,2,Loss,Closed,15M BTC Skew,15m,,
1562001747,15M BTC Skew,2024-09-17,2024-09-17,BTCUSD.,2.74,2.74,1,2.74,0.0,0.0,0,Loss,Closed,15M BTC Skew,15m,,
1562001747,15M BTC Skew,2024-09-17,2024-09-17,BTCUSD.,2.7,2.7,1,2.7,0.0,0.0,0,Loss,Closed,15M BTC Skew,15m,,
1562001747,15M BTC Skew,2024-09-18,2024-09-18,BTCUSD.,2.7,2.7,1,2.7,0.0,0.0,0,Loss,Closed,15M BTC Skew,15m,,
1562001747,15M BTC Skew,2024-09-18,2024-09-18,BTCUSD.,2.73,2.73,1,2.73,0.0,0.0,0,Loss,Closed,15M BTC Skew,15m,,
1562001747,15M BTC Skew,2024-09-18,2024-09-19,BTCUSD.,2.7,2.7,1,2.7,0.0,0.0,1,Loss,Closed,15M BTC Skew,15m,,
1562024390,2HR TD Skew,2024-10-16,2024-10-18,TD,77.53,78.07,1,77.53,0.54,0.7,2,Win,Closed,2HR TD Skew,2h,,
1562024390,2HR TD Skew,2024-10-29,2024-11-06,TD,78.0,78.78,1,78.0,0.78,1.0,8,Win,Closed,2HR TD Skew,2h,,
1562024390,2HR TD Skew,2024-11-12,2024-11-29,TD,78.56,79.17,1,78.56,0.61,0.78,17,Win,Closed,2HR TD Skew,2h,,
1562024390,2HR TD Skew,2024-12-10,2024-12-12,TD,75.28,75.76,1,75.28,0.48,0.64,2,Win,Closed,2HR TD Skew,2h,,
