Alert ID,Entry Date,Ticker,Entry Price,Shares,Cost Basis,Days Held,Status,Position Type,Strategy,Timeframe,Alert Name
1552243182,2025-08-06,TNA,35.27,1,35.27,68,Open,Long,1D TNA nEqual,1D,1D TNA nEqual
1558488691,2024-09-18,SOXL.,107512.0,1,107512.0,390,Open,Long,2HR SOXL  Equal,2h,2HR SOXL  Equal
1558538091,2025-02-21,PLTR,107.7,1,107.7,234,Open,Long,2HR PLTR Skew,2h,2HR PLTR Skew
1558538091,2024-09-13,PLTR.,14565.0,1,14565.0,395,Open,Long,2HR PLTR Skew,2h,2HR PLTR Skew
1559235710,2024-09-19,FANG.,12187.0,1,12187.0,389,Open,Long,1D FANG Equal,1D,1D FANG nEqual L2024
1559438232,2024-10-25,SVIX,24.05,1,24.05,352,Open,Long,15M SVIX Skew,15m,15M SVIX Skew
1559438232,2024-09-26,SVIX.,20268.0,1,20268.0,382,Open,Long,15M SVIX Skew,15m,15M SVIX Skew
1561173569,2025-02-19,AAPL,244.72,1,244.72,235,Open,Long,1HR AAPL Skew,1h,1HR AAPL Skew
1561173569,2024-09-25,AAPL.,5378.0,1,5378.0,383,Open,Long,1HR AAPL Skew,1h,1HR AAPL Skew
1561973772,2024-09-19,FAS.,20542.0,1,20542.0,389,Open,Long,1D FAS Skew,1D,1D FAS Skew
1562024390,2025-02-19,TD,85.0,1,85.0,236,Open,Long,2HR TD Skew,2h,2HR TD Skew
1562024390,2024-09-19,TD.,5399.0,1,5399.0,388,Open,Long,2HR TD Skew,2h,2HR TD Skew
1562027170,2024-12-30,TQQQ,81.2,1,81.2,287,Open,Long,1D TQQQ Skew,1D,1D TQQQ Skew
1562034698,2025-02-26,PANW,189.22,1,189.22,229,Open,Long,2HR PANW Skew,2h,2HR PANW Skew
1562036981,2025-09-22,MSFT,515.15,1,515.15,21,Open,Long,2HR MSFT 1Skew,2h,2HR MSFT 1Skew
1562036981,2024-09-19,MSFT.,4574.0,1,4574.0,389,Open,Long,2HR MSFT Skew,2h,2HR MSFT 1Skew
1562048005,2024-09-18,NVDA.,2248.0,1,2248.0,389,Open,Long,5M NVDA Skew,5m,5M NVDA Skew
1562050720,2024-09-26,NVDL.,60.22,1,60.22,382,Open,Long,30M NVDL Equal,30m,30M NVDL Equal
1562094958,2025-01-29,ANF,121.39,1,121.39,257,Open,Long,4H ANF Skew,4h,4H ANF Skew
1562122079,2025-02-26,MU,98.5,1,98.5,229,Open,Long,1HR MU Skew,1h,1HR MU Skew
1562137229,2024-09-16,NFLX.,18199.0,1,18199.0,392,Open,Long,1D NFLX Skew,1D,1D NFLX Skew
1562227593,2025-02-28,WULF,4.02,1,4.02,227,Open,Long,1HR WULF Skew,1h,1HR WULF Skew
1562227593,2024-09-17,WULF.,10315.0,1,10315.0,391,Open,Long,1HR WULF Skew,1h,1HR WULF Skew
1563014871,2025-02-21,BRK.B,479.55,1,479.55,233,Open,Long,2HR BRK.B Skew,2h,2HR BRK.B Skew
1563014871,2024-09-23,BRK.B.,136.0,1,136.0,385,Open,Long,2HR BRK.B Skew,2h,2HR BRK.B Skew
1565037848,2024-10-11,SHOP,82.14,1,82.14,367,Open,Long,JS Skewed Level Strategy,2h,
1566470822,2024-10-16,ASTS.,26.4,1,26.4,362,Open,Long,JS Skewed Level Strategy,1h,
1572287450,2025-03-06,META,648.54,1,648.54,221,Open,Long,JS Skewed 4H Strategy,4h,
1572360030,2025-01-01,NQ1,21269.0,1,21269.0,284,Open,Long,1D NQ Skew,1D,1D NQ Skew
1573232682,2025-02-18,CRM,328.59,1,328.59,237,Open,Long,1D CRM Skew,1D,1D CRM Skew
1573248552,2024-09-25,JNUG.,51.87,1,51.87,383,Open,Long,JNUG Alert for Henry,15m,JNUG Alert for Henry
1573259383,2024-11-26,JDST,28.03,1,28.03,321,Open,Long,JS Equal Level Strategy,4h,
1573343540,2025-01-15,VKTX,34.64,1,34.64,270,Open,Long,2HR VKTX Skew,2h,2HR VKTX Skew
1573343540,2024-09-25,VKTX.,7647.0,1,7647.0,383,Open,Long,2HR VKTX Skew,2h,2HR VKTX Skew
1574135711,2024-11-06,XOM,121.15,1,121.15,341,Open,Long,JS Skewed Level Strategy,1D,
1574144925,2025-03-05,KO,70.4,1,70.4,221,Open,Long,JS Skewed Level Strategy,2h,
1575214508,2024-11-27,SMMT.,19.49,1,19.49,320,Open,Long,30M SMMT Equal,30m,30M SMMT Equal
1577054156,2025-10-01,AFRM,75.96,1,75.96,12,Open,Long,2HR AFRM 1Equal,2h,2HR AFRM 1Equal
1577648623,2025-09-24,TLT,89.08,1,89.08,19,Open,Long,4HR TLT 1Equal,4h,4HR TLT 1Equal
1577648623,2024-09-24,TLT.,137.0,1,137.0,384,Open,Long,4HR TLT 1 Equal,4h,4HR TLT 1Equal
1579119191,2025-03-14,UPST,48.05,1,48.05,213,Open,Long,2HR UPST 4 Skew,2h,2HR UPST 4 Skew
1580005510,2025-08-05,RTY1,2234.2,1,2234.2,68,Open,Long,1D RTY1! nEqual,1D,1D RTY1! nEqual
1580335885,2025-02-18,NQ1,22224.5,1,22224.5,236,Open,Long,Edge Cap NQ Skew,2h,
1580488408,2024-11-05,BITX,33.2,1,33.2,341,Open,Long,30M BITX 4 Skew,30m,30M BITX 4 Skew
1580488408,2024-09-25,BITX.,29.75,1,29.75,383,Open,Long,30M BITX 4 Skew,30m,30M BITX 4 Skew
1580565370,2025-10-02,URA,49.26,1,49.26,11,Open,Long,2H URA NQSkew,2h,2H URA NQSkew
1582798101,2025-07-02,DKNG,41.07,1,41.07,103,Open,Long,2H DKNG NQSkew,2h,2H DKNG NQSkew
1585074227,2024-10-25,SVIX,24.05,1,24.05,352,Open,Long,JS Skew with 5% Stop Loss,15m,
1585155592,2024-10-02,TQQQ,69.01,1,69.01,376,Open,Long,Edge Cap 10% Stop NQ Skew,4h,
1585191931,2025-09-23,WMT,102.39,1,102.39,20,Open,Long,4H WMT 10% SL NQSkew,4h,4H WMT 10% SL NQSkew
1586141906,2025-02-03,IWM,221.51,1,221.51,252,Open,Long,JS 4 Skew,1D,
1587211130,2025-03-24,SFM,143.13,1,143.13,203,Open,Long,1D SFM 1Skew,1D,1D SFM 1Skew
1587211833,2025-07-02,SFM,160.11,1,160.11,102,Open,Long,2H SFM NQSkew,2h,2H SFM NQSkew
1587522827,2025-10-01,JPM,311.37,1,311.37,12,Open,Long,4H JPM 1Skew,4h,4H JPM 1Skew
1587535611,2025-03-05,SPY,576.7,1,576.7,222,Open,Long,JS 4 Skew,2h,
1587702398,2025-09-11,VX1,18.0,1,18.0,31,Open,Long,1D VX1! 4Skew,1D,1D VX1! 4Skew
1588300761,2025-10-01,XLB,89.47,1,89.47,12,Open,Long,4H XLB NQ Skew,4h,4H XLB NQ Skew
1588307381,2025-10-02,XLB,88.55,1,88.55,11,Open,Long,1D XLB 1Skew,1D,1D XLB 1Skew
1588345790,2024-12-26,QQQ,530.29,1,530.29,290,Open,Long,JS 1 Skew,4h,
1588499739,2025-09-16,COST,952.26,1,952.26,27,Open,Long,1H COST 1Skew,1h,1H COST 1Skew
1590275465,2025-02-10,ASML,744.34,1,744.34,244,Open,Long,JS 1 Skew,2h,
1590434840,2025-08-28,NOW,891.0,1,891.0,46,Open,Long,2H NOW 1Skew,2h,2H NOW 1Skew
1590537655,2025-09-25,NVDA,177.97,1,177.97,18,Open,Long,Top Overall 44 Top Total Return 30 1H NVDA 1Skew,1h,Top Overall 44 Top Total Return 30 1H NVDA 1Skew
1601029722,2025-09-26,ABNB,122.13,1,122.13,17,Open,Long,1H ABNB 1Skew,1h,1H ABNB 1Skew
1601154728,2025-05-01,DFS,184.26,1,184.26,165,Open,Long,2H DFS 1Skew,2h,2H DFS 1Skew
1601340538,2024-11-15,AMD,136.54,1,136.54,332,Open,Long,JS 1 Skew,4h,
1603259835,2024-12-04,AMZN,215.96,1,215.96,313,Open,Long,JS Skew,1D,
1605659218,2025-07-30,CVNA,336.46,1,336.46,75,Open,Long,1D CVNA nSkew,1D,1D CVNA nSkew
1616552821,2025-09-30,PGY,29.17,1,29.17,12,Open,Long,Top Overall 71 Top Total Return 13 - 1H PGY NQSkew,1h,Top Overall 71 Top Total Return 13 - 1H PGY NQSkew
1619310657,2024-10-23,ACN,370.15,1,370.15,355,Open,Long,JS 1 Skew,2h,
1619313497,2025-09-08,ACN,254.69,1,254.69,35,Open,Long,4H ACN 1Skew,4h,4H ACN 1Skew
1623993847,2025-09-26,MELI,2498.55,1,2498.55,17,Open,Long,2H MELI 1Skew,2h,2H MELI 1Skew
1623999154,2025-09-26,HIMS,54.6,1,54.6,17,Open,Long,Top Overall 6 Top Total Return 38 4H HIMS nSkew,4h,Top Overall 6 Top Total Return 38 4H HIMS nSkew
1624007687,2025-09-18,ANET,144.0,1,144.0,25,Open,Long,Top Overall 30 Top Total Return 16 - 4H ANET Skew,4h,Top Overall 30 Top Total Return 16 - 4H ANET Skew
1624073370,2025-03-03,BWIN,40.66,1,40.66,224,Open,Long,Edge Cap 10% Stop NQ Skew,1h,
1624076185,2025-03-06,DOCS,66.91,1,66.91,220,Open,Long,JS 4 Skew,4h,
1627148725,2025-09-10,XBI,93.85,1,93.85,33,Open,Long,2H XBI 1Skew,2h,2H XBI 1Skew
1627155333,2025-09-19,UNH,339.0,1,339.0,24,Open,Long,4H UNH 10SL NQ,4h,4H UNH 10SL NQ
1627373291,2025-09-03,ENPH,37.35,1,37.35,39,Open,Long,2H ENPH 1Skew L2024,2h,2H ENPH 1Skew L2024
1627405379,2025-02-26,SMR,18.7,1,18.7,229,Open,Long,Edge Cap NQ Skew,1h,
1627436991,2025-09-30,GTLB,44.85,1,44.85,13,Open,Long,4H GTLB nEqual,4h,4H GTLB nEqual
1639730936,2025-02-26,AAOI,26.48,1,26.48,229,Open,Long,JS Skew,2h,
1639773227,2025-02-24,MGM,36.47,1,36.47,230,Open,Long,JS Skew,2h,
1640628500,2025-09-17,AXP,328.9,1,328.9,26,Open,Long,1D AXP Equal,1D,1D AXP Equal
1642427722,2025-08-26,SHOP,140.67,1,140.67,48,Open,Long,2H SHOP NQSkew,2h,2H SHOP NQSkew
1642469052,2025-09-25,CCJ,85.96,1,85.96,17,Open,Long,Top Overall 16 Top Total Return 11 - 2H CCJ nEqual,2h,Top Overall 16 Top Total Return 11 - 2H CCJ nEqual
1642732255,2025-02-28,OKLO,32.7,1,32.7,226,Open,Long,JS Skew,1h,
1643085738,2025-01-03,DAL,58.85,1,58.85,282,Open,Long,Edge Cap NQ Skew,2h,
1643092049,2025-01-21,OXY,50.72,1,50.72,264,Open,Long,JS Skew,4h,
